S.No.,Pin Code,City Name,State,Country,Is Active
498,140702,Patiala,Punjab,India,TRUE
499,140801,Ludhiana,Punjab,India,TRUE
500,140802,Fatehgarh Sahib,Punjab,India,TRUE
501,140901,Rupnagar,Punjab,India,TRUE
502,141001,Ludhiana,Punjab,India,TRUE
503,141002,Ludhiana,Punjab,India,TRUE
504,141003,Ludhiana,Punjab,India,TRUE
505,141004,Ludhiana,Punjab,India,TRUE
506,141005,Ludhiana,Punjab,India,TRUE
507,141006,Ludhiana,Punjab,India,TRUE
508,141007,Ludhiana,Punjab,India,TRUE
509,141008,Ludhiana,Punjab,India,TRUE
510,141009,Ludhiana,Punjab,India,TRUE
511,141010,Ludhiana,Punjab,India,TRUE
512,141012,Ludhiana,Punjab,India,TRUE
513,141013,Ludhiana,Punjab,India,TRUE
514,141014,Ludhiana,Punjab,India,TRUE
515,141015,Ludhiana,Punjab,India,TRUE
516,141016,Ludhiana,Punjab,India,TRUE
517,141017,Ludhiana,Punjab,India,TRUE
518,141027,Ludhiana,Punjab,India,TRUE
519,141101,Ludhiana,Punjab,India,TRUE
520,141102,Ludhiana,Punjab,India,TRUE
521,141103,Ludhiana,Punjab,India,TRUE
522,141104,Ludhiana,Punjab,India,TRUE
523,141105,Ludhiana,Punjab,India,TRUE
524,141106,Ludhiana,Punjab,India,TRUE
525,141107,Ludhiana,Punjab,India,TRUE
526,141108,Ludhiana,Punjab,India,TRUE
527,141109,Ludhiana,Punjab,India,TRUE
528,141110,Ludhiana,Punjab,India,TRUE
529,141111,Ludhiana,Punjab,India,TRUE
530,141112,Ludhiana,Punjab,India,TRUE
531,141113,Ludhiana,Punjab,India,TRUE
532,141114,Ludhiana,Punjab,India,TRUE
533,141115,Ludhiana,Punjab,India,TRUE
534,141116,Ludhiana,Punjab,India,TRUE
535,141117,Ludhiana,Punjab,India,TRUE
536,141118,Ludhiana,Punjab,India,TRUE
537,141119,Ludhiana,Punjab,India,TRUE
538,141120,Ludhiana,Punjab,India,TRUE
539,141121,Ludhiana,Punjab,India,TRUE
